ad_id	site_id	frequency	total_users
92150733	N46002.8660FAZ.DE	10	1
creative	yahoomobile	10	1
-	gdnjapan	10	4
210939	334-innovid	10	3
-	specificmedia1	8	1
-	aol	8	18
bonapp_highimpactcrown_1920x520	bonappetit	8	22
display_banners	google	8	4
91906067	N553.Rocketfuel	8	1
46798820	18556	8	1
92060580	N9724.288332ACCUEN	8	2
42172578	95546	8	1
video30_2	yahoo	8	2
mobile_exposed	timeincmobile	8	1
sport_tag_ncaaf_creativeb	gannett	8	1
1920x1200	justpremium	8	1
300x250	amazonproper	8	11
sojernjivox	sojern	8	1
728x90_tortillakit_345g_fresh	aap	8	3
48700985	18556	8	1
728x90_october_amnettarget_ctx_blockad3_btf_x	amnetgroup	8	1
138212654749	meredith	8	2
cbssports1x1	cbssports	8	1
808109	videology	8	1
gumgum_inscreen	accuen	8	1
715287	brightrollexchange	8	1
exponentialtribalfusionjivox	exponential	8	4
210939	334-innovid	8	4
customcontent	wayfair	8	9
halloweenforkids	evite	8	10
omdp_highimpact	1accuen	8	5
creative	radiumone	8	3
babyshowercatpack	evite	8	3
92511753	N482206.2164100DRAWBRIDGECROSSDE	8	1
homes_custom_1x1	homes	8	7
-	clearstream	8	1
728x90	Uol	8	1
1024x100_october_amnettarget_pb_baseboard_a	amnetgroup	8	1
137725	dstillery	8	1
715270	brightrollexchange	8	3
728x90v1	aap	8	1
deterministic_butterfly_160x600	dcbm	8	1
970x250_billboard	globonoticias	8	4
79662938	N9724.288332ACCUEN	8	2
160x600_fajitakit_500g_fresh	aap	8	2
230288	videology	8	2
dynamiccriteo	criteo	8	27
728x90	brandnet	8	5
1988574	7704	8	7
-	torcedores	8	1
2018833	7155	8	4
video	clearstream	8	34
728x90_fajitakit_500g_fresh	aap	8	2
sport_tag_ncaaf	gannett	8	3
970x150_maxiborad1	globoesporte	8	3
970x250	fusionmediagroup	8	1
728x90	aap	8	3
aap	aap	8	7
ronmedia	cafemedia	8	2
dinnerseriespkg	evite	8	2
-	tremor	8	5
rk_m_ttd_nativo_unit_1x1-nat_rk00175	nativo	8	1
137734	dstillery	8	1
93508998	N4682.284566THETRADEDESK	8	2
rent_text_logo_link	realtor	8	1
-	evite	8	2
vice-inbanner-video	vice	8	1
740942	brightrollexchange	8	1
creative	Quantcastmobile	8	1
dstillerymedia6degreesjivox	dstillery	8	1
pandora_exposed	pandora	8	1
93213037	N69702.280211CONVERSANTMEDIA	8	1
deterministic_butterfly_728x90	dcbm	8	1
aapvideo	aap	8	4
displaystandard	quantcast	8	1
92974135	N9724.157906TIMEINC	8	2
92062179	N9724.2550REALTOR.COM	8	2
728x90	fusionmediagroup	8	2
xaxisjivox	xaxis	8	4
target	adconion	8	1
240229	1994-innovid	8	1
94197982	N572608.468584AMNETGROUP0	8	1
video	turn	8	8
48209031	36210	8	1
300x250	amobee-mobile	8	3
creative	bustlemobile	8	17
1x1	saymedia	8	7
137733	dstillery	8	1
160x600	specificmedia1	8	20
-	yahoo	8	1
creative	vibrantmedia	8	6
93563786	N4682.284566THETRADEDESK	8	4
300x600	gannett	8	1
300x250	specificmedia1	8	9
300x250_fajitakit_500g_fresh	aap	8	1
138211213593	meredith	8	1
92506046	N9724.2106WEATHERCHANNEL	8	3
138214624877	8885703	8	1
billboard_970x250	Globo	8	1
93509616	N4682.284566THETRADEDESK	8	1
980x55	amazonproper	8	1
deterministic_butterfly_160x600	education	8	1
mlb_sponsorship_320x50_mobile	tuneinmobile	8	1
46798839	18556	8	2
93317124	N5118.1302111CLEARSTREAM.TV	8	1
138204155569	allrecipes	8	1
branding_2	torcedores	8	3
92715223	N9515.151757EXCHANGELAB3	8	1
2018825	7704	8	2
92060577	N9724.288332ACCUEN	8	10
300x250	conversant	8	2
92061123	N9724.2550REALTOR.COM	8	3
1988585	4810	8	4
93665559	N553.Rocketfuel	8	1
branding_2	R7.com	8	8
creative	sojernmobile	8	1
160x600	brandnet	8	5
970x250	financialtimes	8	1
wedding15	clearstream	8	1
78134974	N5371.274177.WEBMD	8	2
-	adconion	8	1
creative	thetradedeskmobile	8	1
728x90_october_amnettarget_contextual_blockad	amnetgroup	8	1
-	gumgum	8	1
sk_nativeunit	sheknows	8	1
video	conversant	8	3
videocomptwpsandnatural	dcbm	8	1
728x90	conversant	8	1
300x600	tripadvisor	8	1
93480619	N4682.284566THETRADEDESK	8	1
970x250_billboard2	Globo	8	17
creative	juicemobile	8	3
91742731	dataxu	8	1
video30_1	yahoo	8	2
728x90	sojern	8	3
300x600_fajitakit_500g_fresh	aap	8	1
138211748258	meredith	8	1
20185959	thetradedesk	8	1
728x90_october_amnettarget_contextual_stickya	amnetgroup	8	3
mic1x1	mic	8	2
300x250	exponential	8	1
137738	dstillery	8	1
contobox	specificmedia1	8	2
94197988	N572608.468584AMNETGROUP0	8	1
native2	brightrollexchange	8	3
milesoflife	clearstream	8	1
246002	1994-innovid	8	1
94209560	N96601.132333TRIADDIGITAL	8	2
160x600	amazonproper	8	7
300x250_btfdp_deaoct_ban_amazon_x1s	amazon	8	2
oadm_300x250	googledbm	8	1
210940	334-innovid	8	4
vsr_oxiclean_purchasers	xaxis	8	1
mobile_exposed	bustlemobile	8	1
138209830832	allrecipes	8	1
93918145	N1057.1972103DOUBLECLICKBIDMANAG	8	1
display	google	8	7
92092795	N9724.288332ACCUEN	8	4
babyfirstcatpack	evite	8	4
138212735738	meredith	8	1
richmedia	dataxu	8	1
48209023	36210	8	2
native	sheknows	8	3
-	teads	8	2
78134286	N5371.157906.TIMEINC.COM	8	1
standardvideo	clearstream	8	7
137750	dstillery	8	3
92062128	N9724.288332ACCUEN	8	1
137729	dstillery	8	1
300x250	maxpointinteractive	8	2
300x250	brandnet	8	10
300x250_october_amnettarget_ctx_pdp_medrec_bt	amnetgroup	8	5
parentsbundle	evite	8	2
138212201449	meredith	8	2
contextual	healthline	8	1
creative	thebump_mobile	8	7
160x600	aap	8	2
-	crucialinteractive	8	1
none	financialtimes	8	1
video	specificmedia1	8	6
-	gdnjapan	8	4
1988573	4810	8	2
2018825	7155	8	1
160x600	conversant	8	1
92096749	N9724.288332ACCUEN	8	1
78134974	N5371.157906.TIMEINC.COM	8	2
